PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,TYPE HOGER ONDERWIJS,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,GESLACHT,2016,2017,2018,2019,2020
Drenthe,0106,Assen,reguliere inst.,bachelor,25BE,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),34267,B Elektrotechniek,voltijd onderwijs,man,101,95,97,66,53
Drenthe,0106,Assen,reguliere inst.,bachelor,25BE,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),34267,B Elektrotechniek,voltijd onderwijs,vrouw,11,10,9,7,5
Drenthe,0106,Assen,reguliere inst.,bachelor,31FR,NHL Stenden Hogeschool,onderwijs,leraar basisonderwijs,34808,B Opleiding tot leraar Basisonderwijs,deeltijd onderwijs,man,0,0,0,0,22
Drenthe,0106,Assen,reguliere inst.,bachelor,31FR,NHL Stenden Hogeschool,onderwijs,leraar basisonderwijs,34808,B Opleiding tot leraar Basisonderwijs,deeltijd onderwijs,vrouw,0,0,0,0,46
Drenthe,0106,Assen,reguliere inst.,bachelor,31FR,NHL Stenden Hogeschool,onderwijs,leraar basisonderwijs,34808,B Opleiding tot leraar Basisonderwijs,voltijd onderwijs,man,51,54,67,52,35
Drenthe,0106,Assen,reguliere inst.,bachelor,31FR,NHL Stenden Hogeschool,onderwijs,leraar basisonderwijs,34808,B Opleiding tot leraar Basisonderwijs,voltijd onderwijs,vrouw,112,106,118,95,65
Drenthe,0106,Assen,reguliere inst.,master,25BE,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),40015,M Smart Systems Engineering,voltijd onderwijs,man,9,9,9,13,23
Drenthe,0106,Assen,reguliere inst.,master,25BE,Hanzehogeschool Groningen,techniek,n.v.t. (techniek),40015,M Smart Systems Engineering,voltijd onderwijs,vrouw,1,0,2,4,6
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80009,Ad Tourism Management,voltijd onderwijs,man,4,8,5,7,6
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80009,Ad Tourism Management,voltijd onderwijs,vrouw,28,30,30,27,25
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80040,Ad Leisure & Events Management,voltijd onderwijs,man,13,16,7,9,9
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80040,Ad Leisure & Events Management,voltijd onderwijs,vrouw,31,39,32,35,39
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80041,Ad Hotel Management,duaal onderwijs,man,1,0,2,2,1
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80041,Ad Hotel Management,duaal onderwijs,vrouw,1,4,4,4,2
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80041,Ad Hotel Management,voltijd onderwijs,man,42,56,58,50,44
Drenthe,0114,Emmen,reguliere inst.,associate degree,31FR,NHL Stenden Hogeschool,economie,n.v.t. (economie),80041,Ad Hotel Management,voltijd onderwijs,vrouw,69,79,82,77,82
